Full Library Name,Library Name,Branch Name,Full Address,Address,City,County,State,Zip Code,Type of Library,Mailing Address,Mailing City,Mailing County,Mailing State,Mailing Zip Code,Phone Number,FAX Number,Email Address,Website,Library System Membership,Director's First Name,Director's Last Name,Director's Phone Number,Director's Email,New Georeferenced Column,2010 House Districts,2010 Senate Districts,Counties
Dufur School/Community Library,Dufur School/Community Library,,802 NE Fifth St Dufur   OR 97021,802 NE Fifth St,Dufur,Wasco,OR,97021,Public,802 NE 5th Dufur OR 97021,Dufur,,OR,97021,(541) 467-2509,(541) 467-2589,sarah.tierney@dufur.k12.or.us,http://www.dufur.k12.or.us,NONE,Jack,Henderson,(541) 467-2509,jhender@dufur.k12.or.us,POINT (-121.124682 45.454903),57,29,2451
Reed College - E. V. Hauser Memorial Library,Reed College,E. V. Hauser Memorial Library,3203 SE Woodstock Blvd Portland OR 97202-8199,3203 SE Woodstock Blvd,Portland,Multnomah,OR,97202-8199,Academic,,,,,,503-777-7702,503-777-7786,,https://library.reed.edu/,,Dena,Hutto,503-777-7572,dhutto@reed.edu,POINT (-122.63001 45.479231),41,21,2410
Clackamas Community College Library,Clackamas Community College Library,,19600 Molalla Ave Oregon City OR 97045-7998,19600 Molalla Ave,Oregon City,Clackamas,OR,97045-7998,Academic,,,,,,503-594-6323,503-655-8925,reference@clackamas.edu,http://library.clackamas.edu,,Jane,"Littlefield, Library Department Chair",503-594-3474,jane.littlefield@clackamas.edu,POINT (-122.579593 45.323744),40,20,2317
Portland Community College - Sylvania Campus,Portland Community College,Sylvania Campus,12000 SW 49th Ave Portland OR 97219-7199,12000 SW 49th Ave,Portland,,OR,97219-7199,Academic,PO Box 19000 Portland  97280-0990,Portland,,,97280-0990,971-722-4935,971 722--4977,https://www.pcc.edu/library/about/people/contact/email-a-librarian/,http://www.pcc.edu/library,,Michelle,Bagley,971-722-4497,michelle.bagley@pcc.edu,POINT (-122.727122 45.439574),35,18,2410
Gaston Community Library,Gaston Community Library,,116 Front St Gaston OR 97119,116 Front St,Gaston,Washington,OR,97119,Volunteer,P.O. Box 129 Gaston OR 97119,Gaston,Washington,OR,97119,(503) 985-3464,,gastonlibrarian@comcast.net,http://gastoncommunitylibrary.org,,,,,,POINT (-123.14002300000001 45.437884),32,16,724
Wasco County Library Service District,Wasco County Library Service District,,"511 Washington St., Suite 302 The Dalles OR 97058","511 Washington St., Suite 302",The Dalles,Wasco,OR,97058,Public,722 Court St. The Dalles OR 97058,The Dalles,,OR,97058,(541) 296-2815,(541) 296-4179,,http://wascocountylibrary.com/,WCLSD,Jeff,Wavrunek,(541) 296-2815 ext 3000,jwavrunek@ci.the-dalles.or.us,POINT (-121.18373600000001 45.599418),59,30,2451
Jackson County Library Services - Ruch Branch Library,Jackson County Library Services,Ruch Branch Library,7919 Highway 238 Ruch OR 97530,7919 Highway 238,Ruch,Jackson,OR,97530,Public,,,,,,(541) 899-7438,(541) 899-7438,info@jcls.org,http://www.jcls.org,NONE,Thalia,Truesdell,(541) 899-7438,ttruesdell@jcls.org,POINT (-123.04423800000002 42.237028),5,3,2367
Klamath County Library - Bonanza Branch Library,Klamath County Library,Bonanza Branch Library,31703 Hwy 70 Bonanza OR 97623,31703 Hwy 70,Bonanza,Klamath,OR,97623,Public,PO Box 218 Bonanza  97623,Bonanza,Klamath,,97623,(541) 545-6944,(541) 545-6944,bonanzastaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,(541) 882-8894  ext 23,njohnston@klamathlibrary.org,POINT (-121.40877499999999 42.198748),56,28,2369
Planetree Health Resource Center,Planetree Health Resource Center,,200 E. 4th St. The Dalles OR 97058,200 E. 4th St.,The Dalles,Wasco,OR,97058,Special,200 E. 4th St. The Dalles OR 97058,The Dalles,Wasco,OR,97058,(541) 296-8444,,,http://www.mcmc.net/PlanetreeResources/Default.aspx?blrb=PlanetreeServices.aspx,,Michele,Spatz,(541) 506-6411,micheles@mcmc.net,POINT (-121.184134 45.600513),59,30,2451
New Hope Christian College - Flint Memorial Library,New Hope Christian College,Flint Memorial Library,2155 Bailey Hill Rd. Eugene OR 97405-1194,2155 Bailey Hill Rd.,Eugene,Lane,OR,97405-1194,Academic,,,,,,541-485-1780,541-343-5801,,http://www.newhope.edu/library/,,Jeanie,Chase,541-485-1780  ext 3204,librarian@newhope.edu,POINT (-123.154594 44.034815),14,7,2371
Oregon Historical Society Research Library,Oregon Historical Society Research Library,,1200 SW Park Avenue Portland OR 97205,1200 SW Park Avenue,Portland,Multnomah,OR,97205,Special,1200 SW Park Avenue Portland OR 97205,Portland,Multnomah,OR,97205,(503) 306-5240,,libreference@ohs.org,http://ohs.org,,Shawna,Gandy,(503) 306-5265,Shawna.Gandy@OHS.org,POINT (-122.68247 45.516149),36,18,2410
Chemeketa Community College - Library,Chemeketa Community College,Library,4000 Lancaster Dr NE Salem OR 97309,4000 Lancaster Dr NE,Salem,Marion,OR,97309,Academic,PO Box 14007 Salem  97309,Salem,,,97309,503-399-5043,503-399-5214,,http://library.chemeketa.edu,,Natalie,Beach,,natalie.beach@chemeketa.edu,POINT (-122.98339199999998 44.976331),22,11,2409
Burns Paiute Tribal Library,Burns Paiute Tribal Library,,100 Pasigo St. Burns OR 97720,100 Pasigo St.,Burns,Harney,OR,97720,Tribal,100 Pasigo St. Burns OR 97720,Burns,Harney,OR,97720,,,,,,,,,,POINT (-119.07635600000002 43.611018),60,30,720
Lowell Public Library,Lowell Public Library,,107 E. 3rd St. Lowell OR 97452,107 E. 3rd St.,Lowell,Lane,OR,97452,Public,P.O. Box 490   Lowell OR 97452,Lowell,Lane,OR,97452,(541) 937-2157,(541) 937-2936,jcobb@ci.lowell.or.us,,,Jared,Cobb,,jcobb@ci.lowell.or.us,POINT (-122.78174700000001 43.921842),7,4,2371
Riddle City Library,Riddle City Library,,637 First St Riddle OR 97469,637 First St,Riddle,Douglas County,OR,97469,Volunteer,PO Box 990 Riddle  97469,Riddle,Douglas,,97469,(541) 874-2070,(541) 874-2070,,,NONE,,,,,POINT (-123.35740899999999 42.952351),2,1,2363
University Of Oregon - Knight Library,University Of Oregon,Knight Library,1299 University of Oregon Eugene OR 97403-1299,1299 University of Oregon,Eugene,Lane,OR,97403-1299,Academic,,,,,,541-346-3053,541-346-3485,,http://libweb.uoregon.edu,,Mark,"Watson, Interim",541-346-3056,mrwatson@uoregon.edu,POINT (-123.075694 44.042002),11,6,2371
Albany Public Library,Albany Public Library,,2450 14th Avenue SE Albany OR 97322,2450 14th Avenue SE,Albany,Linn,OR,97322,Public,2450 14th Avenue SE Albany OR 97322,Albany,,OR,97322,(541) 917-7580,(541) 917-7586,AskAlbany@cityofalbany.net,http://library.cityofalbany.net,NONE,Ed,Gallagher,(541) 917-7589,ed.gallagher@cityofalbany.net,POINT (-123.075018 44.628636),15,8,2407
Emma Humphrey Library,Emma Humphrey Library,,150 A St E Vale OR 97918,150 A St E,Vale,Malheur,OR,97918,Public,150 A St E Vale OR 97918,Vale,,OR,97918,(541) 473-3902,,mquintero@cityofvale.com,https://www.cityofvale.com/government/departments/emma-humphrey-library/,NONE,Morgan,Quintero,(541) 473-3902,mquintero@cityofvale.com,POINT (-117.239682 43.981893),60,30,2408
Tillamook Bay Community College,Tillamook Bay Community College,,4301 Third Street Tillamook OR 97141,4301 Third Street,Tillamook,Tillamook County,OR,97141,Academic,4301 Third Street Tillamook  97141,Tillamook,Tillamook County,,97141,503-842-8222 ext. 1720,503 842 8334,,http://tillamookbaycc.edu/library/,,Masyn,Phoenix,503 842 8222 ext 1720,masynphoenix@tillamookbaycc.edu,POINT (-123.813465 45.45691300000001),32,16,2412
Southern Oregon University,Southern Oregon University,,1290 Ashland St Ashland OR 97520-5076,1290 Ashland St,Ashland,Jackson,OR,97520-5076,Academic,1250 Siskiyou Blvd Ashland  97520-5076,Ashland,Jackson,,97520-5076,541-552-6441,541-552-6429,,http://hanlib.sou.edu,,Jeffrey,Gayton,541-552-6833,gaytonj@sou.edu,POINT (-122.69486 42.185462),5,3,2367
Newberg Public Library,Newberg Public Library,,503 E Hancock St Newberg OR 97132,503 E Hancock St,Newberg,Yamhill,OR,97132,Public,503 E Hancock St Newberg OR 97132,Newberg,,OR,97132,(503) 538-7323,,nplibrary@newbergoregon.gov,http://www.newberglibrary.org,CCRLS,Will,Worthey,(503) 537 1256,will.worthey@newbergoregon.gov,POINT (-122.974632 45.301131),25,13,2453
Seaside Public Library,Seaside Public Library,,1131 Broadway  Seaside  OR 97138,1131 Broadway,Seaside,Clatsop,OR,97138,Public,1131 Broadway Seaside OR 97138,Seaside,Clatsop,OR,97138,(503) 738-6742,(503) 738-6552,seasidepl@gmail.com,http://www.seasidelibrary.org,NONE,Esther,Moberg,(503) 738-6742,emoberg@cityofseaside.us,POINT (-123.91914899999999 45.993129),32,16,2318
Concordia University Libraries - FWJ Sylwester Library,Concordia University Libraries,FWJ Sylwester Library,2800 NE Liberty St. Portland OR 97211,2800 NE Liberty St.,Portland,Multnomah,OR,97211,Academic,2811 NE Holman St. Portland  97211-6099,Portland,Multhomah,,97211-6099,503-280-8507,503-280-8518,library@cu-portland.edu,http://www.cu-portland.edu/academics/libraries,,Kim,Read,503-493-6453,kread@cu-portland.edu,POINT (-122.637076 45.570510000000006),43,22,2410
Gutenberg College,Gutenberg College,,1883 University Street Eugene OR 97403,1883 University Street,Eugene,Lane,OR,97403,Academic,,,,,,541-683-5141,541-683-6997,,http://www.gutenberg.edu/student_life/library_services.php,,,,,,POINT (-123.07467400000002 44.039165),11,6,2371
Ontario Library District - Ontario Community Library Bookmobile,Ontario Library District,Ontario Community Library Bookmobile,388 SW 2nd Ave Ontario OR 97914,388 SW 2nd Ave,Ontario,Malheur,OR,97914,Public,388 S.W. 2nd Ave Ontario  97914,Ontario,Malheur,,97914,5418896371,541-889-4279,ontariolibrarydirector@gmail.com,http://www.ontariolibrarydistrict.org,NONE,Darlyne,Johnson,541-889-6371,ontariolibrarydirector@gmail.com,POINT (-116.968141 44.025617),60,30,2408
Klamath County Library - Malin Branch Library,Klamath County Library,Malin Branch Library,2307 Front St Malin OR 97632,2307 Front St,Malin,Klamath,OR,97632,Public,PO Box 525 Malin  97632,Malin,Klamath,,97632,(541) 723-5210,(541) 723-5210,malinstaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,541-882-8894  ext 23,njohnston@klamathlibrary.org,POINT (-121.406894 42.013248000000004),56,28,2369
Nyssa Public Library,Nyssa Public Library,,319 Main St. Nyssa OR 97913,319 Main St.,Nyssa,Malheur,OR,97913,Public,319 Main St Nyssa OR 97913,Nyssa,,OR,97913,(541) 372-2978,(541) 372-0206,nyssalibrary@nyssacity.org,http://www.nyssacity.org/nyssa-library.html,NONE,Faith,Adams,(541) 372-2978,nyssalibrary@nyssacity.org,POINT (-116.99734400000001 43.876781),60,30,2408
Junction City Public Library,Junction City Public Library,,726 Greenwood St Junction City OR 97448,726 Greenwood St,Junction City,Lane,OR,97448,Public,PO Box 280 Junction City OR 97448,Junction City,,OR,97448,(541) 998-8942,(000) 000-0000,fdarling@ci.junction-city.or.us,http://junctioncity.ploud.net/,NONE,Freda,Darling,(541) 998-8942,fdarling@ci.junction-city.or.us,POINT (-123.202607 44.220326),14,7,2371
Oregon Trail Library District - OTLD Heppner Branch,Oregon Trail Library District,OTLD Heppner Branch,444 Main St Heppner OR 97836,444 Main St,Heppner,Morrow,OR,97836,Public,PO Box 325 Heppner  97836,Heppner,,,97836,541-676-9964,541-676-5900,asherman@otld.org,http://oregontrail.ploud.net/,NONE,Kathy,Street,541-481-3365,kstreet@otld.org,POINT (-119.55339100000002 45.356838),57,29,722
Molalla Public Library,Molalla Public Library,,201 E Fifth St Molalla  OR 97038,201 E Fifth St,Molalla,Clackamas,OR,97038,Public,PO Box 1289  Molalla  OR 97038,Molalla,,OR,97038,(503) 829-2593,(503) 759-3486,moref@lincc.lib.or.us,http://www.cityofmolalla.com/library,LINCC,Diana,Hadley,(503) 759-0250,dhadley@lincc.org,POINT (-122.57745 45.143719),18,9,2317
Baker County Public Library - Halfway Branch Library,Baker County Public Library,Halfway Branch Library,260 Gover Lane Halfway OR 97834,260 Gover Lane,Halfway,Baker,OR,97834,Public,PO Box 922 Halfway  97834,Halfway,Baker,,97834,(541) 742-5279,,halfway@bakerlib.org,,NONE,,,,,POINT (-117.108932 44.87537100000001),60,30,2315
Tillamook County Library - Garibaldi Branch Library,Tillamook County Library,Garibaldi Branch Library,107 6th St Garibaldi OR 97118,107 6th St,Garibaldi,Tillamook County,OR,97118,Public,PO Box 485 Garibaldi  97118,Garibaldi,Tillamook County,,97118,503-332-2100,,,,NONE,Norma,Johasson,,,POINT (-123.913976 45.559698),32,16,2412
Klamath County Library - Bly Branch Library,Klamath County Library,Bly Branch Library,61100 Metler St. Bly OR 97622,61100 Metler St.,Bly,Klamath,OR,97622,Public,PO Box 366 Bly  97622,Bly,Klamath,,97622,(541) 353-2299,(541) 353-2299,blystaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,(541) 882-8894  ext 23,njohnston@klamathlibrary.org,POINT (-121.04429399999998 42.394247),55,28,2369
Umpqua Community College Library,Umpqua Community College Library,,1140 Umpqua College Rd. Roseburg OR 97470-0226,1140 Umpqua College Rd.,Roseburg,Douglas,OR,97470-0226,Academic,PO Box 967 Roseburg  97470,Roseburg,Douglas,,97470,541-440-4640,541-440-4637,,http://www.umpqua.edu/library,,Carol,McGeehon,,Carol.McGeehon@umpqua.edu,POINT (-123.333625 43.289031),7,4,2363
Canyonville Library,Canyonville Library,,250 N. Main Street Canyonville OR 97417,250 N. Main Street,Canyonville,Douglas County,OR,97417,Volunteer,PO Box 147 Canyonville  97417,Canyonville,Douglas,,97417,(541) 839-4727,,canyonvillelibrary@gmail.com,,NONE,Linda,Joyce,541-839-4650,canyonvillelibrary@gmail.com,POINT (-123.28061800000002 42.929944000000006),2,1,2363
Washington County Cooperative Library Services - West Slope Community Library,Washington County Cooperative Library Services,West Slope Community Library,3678 SW 78th Ave. Portland OR 97225,3678 SW 78th Ave.,Portland,Washington County,OR,97225,Public,3678 SW 78th Ave Portland   97225,Portland,Washington,,97225,(503) 292-6416,(503) 292-6932,terisab@wccls.org,http://wccls.org,WCCLS,Terisa,Brown,(503) 297-1428,terisab@wccls.org,POINT (-122.75769 45.492698),27,14,724
Multnomah County Library - St. Johns Library,Multnomah County Library,St. Johns Library,7510 N Charleston Ave Portland OR 97203,7510 N Charleston Ave,Portland,Multnomah County,OR,97203,Public,,,,,,,,,,NONE,Susie,Woodward,(503)988-3212,susiew@multcolib.org,POINT (-122.75146400000001 45.590112),44,22,2410
Cornelius Public Library,Cornelius Public Library,,1370 N Adair St Cornelius OR 97113,1370 N Adair St,Cornelius,Washington,OR,97113,Public,1355 N Barlow St Cornelius OR 97113,Cornelius,,OR,97113,(503) 357-4093,(503) 357-7775,library@ci.cornelius.or.us,http://www.ci.cornelius.or.us/library,WCCLS,Karen,Hill,(503) 992-5381,karenh@wccls.org,POINT (-123.054948 45.52092),29,15,724
Hillsboro Public Library - Shute Park Library,Hillsboro Public Library,Shute Park Library,775 SE Tenth Avenue Hillsboro OR 97123,775 SE Tenth Avenue,Hillsboro,Washington,OR,97123,Public,775 SE Tenth Avenue Hillsboro  97123,Hillsboro,,,97123,(503) 615-6500,(503) 615-6501,,https://www.hillsboro-oregon.gov/departments/library,WCCLS,Stephanie,Chase,503 615 6500 ext 6609,stephanie.chase@hillsboro-oregon.gov,POINT (-122.974028 45.514024),29,15,724
Lewis And Clark College - Aubrey R. Watzek Library,Lewis And Clark College,Aubrey R. Watzek Library,0615 SW Palatine Hill Road Portland OR 97219-7899,0615 SW Palatine Hill Road,Portland,,OR,97219-7899,Academic,,,,,,503-768-7274,503-768-7282,,http://library.lclark.edu,,Mark,Dahl,503-768-7339,dahl@lclark.edu,POINT (-122.67256 45.450512),38,19,2410
Lake County Library - Christmas Valley Branch Library,Lake County Library,Christmas Valley Branch Library,57334 Christmas Tree Lane Christmas Valley OR 97641,57334 Christmas Tree Lane,Christmas Valley,Lake,OR,97641,Public,PO Box 87 Christmas Valley  97641,Christmas Valley,Lake,,97641,(541) 576-2336,(541) 576-2336,juliec@lakecountylibrary.org,http://www.lakecountylibrary.org/,NONE,Amy,Hutchinson,(541) 947-6019,amyh@lakecountylibrary.org,POINT (-120.68097599999999 43.239679),55,28,2370
Multnomah County Library,Multnomah County Library,,"919 NE 19th Avenue, Suite 250 Portland OR 97232","919 NE 19th Avenue, Suite 250",Portland,Multnomah,OR,97232,Public,919 NE 19th Avenue Suite 250 Portland OR 97232,Portland,,OR,97232,(503) 988-7870,(503) 988-5441,https://multcolib.org/we-can-help-anything,http://www.multcolib.org,NONE,Vailey,Oehlke,(503) 988 7870,vaileyo@multcolib.org,POINT (-122.646472 45.528299),42,21,2410
Salem Public Library - West Salem Branch Library,Salem Public Library,West Salem Branch Library,395 Glen Creek Road NW Salem OR 97304,395 Glen Creek Road NW,Salem,Marion,OR,97304,Public,P.O. Box 14810 Salem  97309,Salem,Marion,,97309,(503) 588-6301,(503)-588-6397,,,CCRLS,Sarah,Strahl,(503)-588-6084,sstrahl@cityofsalem.net,POINT (-123.04863999999999 44.950174),20,10,723
Port Orford Public Library,Port Orford Public Library,,1421 Oregon St Port Orford OR 97465,1421 Oregon St,Port Orford,Curry,OR,97465,Public,PO Box 130 Port Orford OR 97465,Port Orford,Curry,OR,97465,(541) 332-5622,(541) 332-2140,polibrary2012@gmail.com,http://www.polibrary.org,NONE,Denise,Willms,(541) 332-5622,dwillms@polibrary.org,POINT (-124.497397 42.750164),1,1,2321
Amity Public Library,Amity Public Library,,307 S Trade St Amity OR 97101,307 S Trade St,Amity,Yamhill,OR,97101,Public,PO Box 470 Amity OR 97101,Amity,,OR,97101,(503) 835-8181,,,https://www.cityofamityoregon.org/library,CCRLS,Marcia,Robbins,(503) 835-8181,marcia.robbins@ccrls.org,POINT (-123.20620800000002 45.117191),23,12,2453
Coquille Indian Tribe Library,Coquille Indian Tribe Library,,495 Miluk Dr. Coos Bay OR 97420,495 Miluk Dr.,Coos Bay,Coos,OR,97420,Tribal,3050 Tremont Blvd. North Bend OR 97459,North Bend,Coos,OR,97459,(541) 756-0904,(541) 756-0847,christanner@coquilletribe.org,http://www.coquilletribe.org/citlibrary.htm,,Chris,Tanner,(541) 756-0904 ext 1218,ctanner@coquilletribe.org,POINT (-124.29402300000001 43.358036),9,5,2320
Yachats Public Library,Yachats Public Library,,560 W 7th St. Yachats  OR 97498,560 W 7th St.,Yachats,Lincoln,OR,97498,Public,PO Box 817 Yachats OR 97498,Yachats,,OR,97498,(541) 547-3741,(541) 547-3741,yachatspl@actionnet.net,http://www.yachatsoregon.org,NONE,Janet,Hickam,(541) 547-3741,yachatspl@actionnet.net,POINT (-124.107005 44.314455),9,5,2372
Fern Ridge Library District,Fern Ridge Library District,,88026 Territorial Rd Veneta OR 97487,88026 Territorial Rd,Veneta,Lane,OR,97487,Public,PO Box 397 Veneta OR 97487,Veneta,,OR,97487,(541) 935-7512,(541) 935-8013,staff@fernridgelibrary.org,http://www.fernridgelibrary.org,NONE,Colin,Rea,(541) 935-7512,crea@fernridgelibrary.org,POINT (-123.35157500000001 44.046522),8,4,2371
Monmouth Public Library,Monmouth Public Library,,168 Ecols St. S. Monmouth OR 97361,168 Ecols St. S.,Monmouth,Polk,OR,97361,Public,PO Box 10 Monmouth OR 97361,Monmouth,Polk,OR,97361,(503) 838-1932,(503) 838-3899,,http://www.ci.monmouth.or.us/library,CCRLS,Krist,Obrist,(503) 751-0193,kobrist@ci.monmouth.or.us,POINT (-123.231783 44.847757),20,10,723
Josephine Community Library District - Illinois Valley Branch Library,Josephine Community Library District,Illinois Valley Branch Library,209 West Palmer Cave Junction OR 97523,209 West Palmer,Cave Junction,Josephine,OR,97523,Public,200 NW C Street Grants Pass  97526,Grants Pass,Josephine,,97526,541-592-4778,,,http://www.josephinelibrary.org,NONE,Roberta,"Lee, Branch Manager",,,POINT (-123.64753500000002 42.168362),3,2,2368
Agness Community Library District,Agness Community Library District,,03925 Cougar Lane Agness OR 97406,03925 Cougar Lane,Agness,Curry,OR,97406,Public,PO Box 33 Agness OR 97406,Agness,,OR,97406,(541) 247-6323,(541) 247-6323,Agnesscommunitylibrary@gmail.com,,,Jhanna,Stutzman-Fry,(541) 247-6323,Agnesscommunitylibrary@gmail.com,POINT (-124.06994999999999 42.556862),1,1,2321
Willamina Public Library,Willamina Public Library,,382 NE C St Willamina  OR 97396,382 NE C St,Willamina,Yamhill,OR,97396,Public,PO Box 273 Willamina OR 97396,Willamina,,OR,97396,(503) 876-6182,(503) 876-1121,frosts@ci.willamina.or.us,http://willamina.ccrls.org/,CCRLS,Sarah,Frost,(503) 876-6182,frosts@ci.willamina.or.us,POINT (-123.484883 45.079652),23,12,2453
Stanfield Public Library,Stanfield Public Library,,180 West Coe Ave   Stanfield  OR 97875,180 West Coe Ave,Stanfield,Umatilla,OR,97875,Public,PO Box 489 Stanfield OR 97875,Stanfield,,OR,97875,(541) 449-1254,(541) 449-3264,library@cityofstanfield.com,http://www.stanfieldpubliclibrary.com/,UCSLD,Cecili,Longhorn,(541) 449-1254,librarydirector@cityofstanfield.com,POINT (-119.21869900000002 45.780538),57,29,2413
