District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,Teacher Experience,Same Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average,College Going,College Going Change from Last Year,College Going Change Value,Oregon College Going Average
2051,Ashwood SD 8,427,Ashwood Elementary School,Melanie Friend,Grade(s) K-8,E,Jefferson,6,*,1,*,*,*,1,0,0,10%,0%,No,6,No Change,,25,*,Unavailable,,80%,*,,Unavailable,,52%,,Unavailable,,41%,,,,,,,,,,,,,,,,
1933,Astoria SD 1,143,Astor Elementary School,Kate Gohr,Grade(s) K-2,E,Clatsop,442,10%,6,14%,50%,94%,25,11,1,12%,88%,Yes,22,No Change,,25,87%,No Change,,80%,*,50%,Decrease,3%,,45%,Decrease,5%,,,,,,,,,,,,,,,,,
1933,Astoria SD 1,144,Astoria Middle School,Linda Brech,Grade(s) 6-8,M,Clatsop,460,9%,10,14%,51%,95%,22,11,1,2%,95%,Yes,28,Increase,1,25,82%,Decrease,4%,80%,Average,48%,Decrease,3%,54%,33%,Decrease,7%,39%,,,,,,,,,,,,,,,,
1933,Astoria SD 1,146,Astoria Senior High School,Lynn Jackson,Grade(s) 9-12,H,Clatsop,559,10%,10,14%,36%,94%,28,14,2,13%,90%,Yes,23,Decrease,1,25,83%,Increase,7%,80%,,,,,,,,,,88%,Increase,7%,85%,78%,Increase,15%,79%,76%,No Change,,85%,57%,Decrease,7%,62%
1933,Astoria SD 1,147,Lewis & Clark Elementary School,Brian Ploghoft,Grade(s) 3-5,E,Clatsop,421,10%,8,14%,49%,94%,22,12,1,14%,91%,Yes,27,Increase,1,25,90%,Increase,1%,80%,Average,50%,No Change,,51%,42%,Increase,4%,43%,,,,,,,,,,,,,,,,
2208,Athena-Weston SD 29RJ,1053,Athena Elementary School,Laure Quaresma,Grade(s) K-3,E,Umatilla,147,*,1,12%,70%,93%,10,4,0,8%,82%,Yes,18.5,No Change,,25,80%,Decrease,3%,80%,*,56%,Increase,16%,47%,44%,No Change,,47%,,,,,,,,,,,,,,,,
2208,Athena-Weston SD 29RJ,1055,Weston Middle School,Ann Vescio,Grade(s) 4-8,M,Umatilla,254,*,2,14%,57%,97%,12,5,0,12%,86%,Yes,24.5,Increase,2,25,80%,Decrease,1%,80%,High,52%,Increase,7%,53%,37%,Increase,3%,40%,,,,,,,,,,,,,,,,
2208,Athena-Weston SD 29RJ,1056,Weston-McEwen High School,Rob Shell,Grade(s) 9-12,H,Umatilla,181,*,2,18%,47%,98%,12,3,0,10%,79%,No,16,No Change,,25,72%,Decrease,2%,80%,,,,,,,,,,81%,Decrease,6%,85%,84%,Decrease,3%,79%,87%,Decrease,1%,85%,52%,Increase,6%,62%
1894,Baker SD 5J,4759,Baker Early College,John Martin,Grade(s) 9-12,H,Baker,336,*,7,*,22%,0%,0,0,4,-1,-1,Yes,*,Unavailable,,,*,Unavailable,,80%,,,,,,,,,,,Unavailable,,85%,96%,Increase,3%,79%,97%,Increase,4%,85%,69%,Decrease,9%,62%
1894,Baker SD 5J,8,Baker High School,Greg Mitchell,Grade(s) 9-12,H,Baker,408,<5%,10,12%,38%,96%,27,6,1,16%,72%,Yes,18,Increase,1,25,69%,Decrease,2%,80%,,,,,,,,,,85%,Increase,2%,85%,84%,Increase,5%,79%,89%,No Change,,85%,54%,Decrease,4%,62%
1894,Baker SD 5J,1,Baker Middle School,Skye Flanagan,Grade(s) 7-8,M,Baker,250,*,2,11%,52%,92%,15,6,1,26%,53%,No,20.5,Decrease,1,25,73%,Decrease,9%,80%,Average,53%,No Change,,55%,36%,Decrease,3%,40%,,,,,,,,,,,,,,,,
1894,Baker SD 5J,4728,Baker Web Academy,Roland Hobson,Grade(s) K-12,H,Baker,1827,<5%,14,13%,47%,74%,81,2,4,30%,79%,Yes,6,Decrease,7,25,88%,Decrease,>7%,80%,,,,,,,,,,62%,Decrease,6%,85%,63%,Increase,10%,79%,66%,Increase,7%,85%,27%,Decrease,1%,62%
1894,Baker SD 5J,2,Brooklyn Primary School,Phil Anderson,Grade(s) K-3,E,Baker,422,<5%,4,24%,62%,92%,28,15,1,25%,57%,Yes,20,Decrease,3,25,74%,Decrease,8%,80%,*,42%,Increase,2%,47%,37%,Decrease,7%,47%,,,,,,,,,,,,,,,,
1894,Baker SD 5J,3493,EAGLE CAP Innovative HS,Mark Witty,Grade(s) 9-12,H,Baker,16,*,1,*,*,100%,1,0,0,20%,0%,No,4,Increase,1,25,50%,Decrease,7%,80%,,,,,,,,,,,Unavailable,,85%,85%,Increase,15%,79%,89%,Increase,34%,85%,,Unavailable,,62%
1894,Baker SD 5J,4,Haines Elementary School,Kathryn Collier,Grade(s) K-6,E,Baker,152,*,2,14%,38%,94%,9,5,0,18%,70%,No,21,Decrease,1,25,87%,No Change,,80%,High,80%,Increase,12%,51%,67%,Increase,11%,42%,,,,,,,,,,,,,,,,
1894,Baker SD 5J,5,Keating Elementary School,Amanda Wilde,Grade(s) K-6,E,Baker,28,*,1,*,39%,86%,2,2,0,21%,100%,No,14,Increase,1,25,>95%,Increase,>12%,80%,*,,Unavailable,,51%,,Unavailable,,42%,,,,,,,,,,,,,,,,
1894,Baker SD 5J,7,South Baker Intermediate School,Geno Bates,Grade(s) 4-6,E,Baker,369,5%,3,18%,60%,94%,20,11,0,18%,71%,No,28,Increase,2,25,86%,Increase,1%,80%,High,49%,Increase,3%,53%,43%,Increase,2%,40%,,,,,,,,,,,,,,,,
1969,Bandon SD 54,218,Bandon Senior High School,Sabrina Belletti,Grade(s) 9-12,H,Coos,182,*,2,14%,47%,94%,13,4,0,14%,86%,Yes,15,Increase,1,25,67%,Decrease,8%,80%,,,,,,,,,,87%,Increase,7%,85%,77%,Increase,4%,79%,77%,Decrease,9%,85%,61%,Decrease,5%,62%
1969,Bandon SD 54,216,Harbor Lights Middle School,Dustin Clark,Grade(s) 5-8,M,Coos,236,*,2,14%,61%,92%,12,11,0,16%,82%,No,28,Decrease,5,25,69%,Decrease,6%,80%,High,64%,Increase,5%,54%,52%,Increase,14%,39%,,,,,,,,,,,,,,,,
1969,Bandon SD 54,217,Ocean Crest Elementary School,Becky Armistead,Grade(s) K-4,E,Coos,254,*,2,15%,58%,91%,12,5,0,13%,75%,Yes,12.5,Decrease,13,25,77%,Increase,8%,80%,High,46%,Increase,1%,49%,44%,Increase,12%,46%,,,,,,,,,,,,,,,,
2240,Banks SD 13,1120,Banks Elementary School,Darla Waite-Larkin,Grade(s) K-5,E,Washington,489,<5%,5,16%,26%,92%,24,9,0,6%,91%,Yes,27,No Change,,25,85%,Decrease,3%,80%,High,52%,Increase,3%,51%,41%,Increase,3%,43%,,,,,,,,,,,,,,,,
2240,Banks SD 13,1124,Banks High School,Jacob Pence,Grade(s) 9-12,H,Washington,375,<5%,7,13%,23%,98%,19,2,2,12%,80%,No,22,Increase,1,25,77%,Decrease,2%,80%,,,,,,,,,,91%,Decrease,>4%,85%,98%,Increase,7%,79%,98%,Increase,5%,85%,74%,Increase,13%,62%
2240,Banks SD 13,1123,Banks Middle School,Darla Waite-Larkin,Grade(s) 6-8,M,Washington,252,<5%,6,15%,29%,94%,12,6,<1,15%,79%,No,27,Decrease,1,25,81%,Decrease,3%,80%,Average,51%,No Change,,54%,42%,Decrease,1%,39%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1186,Aloha High School,Matt Casteel,Grade(s) 9-12,H,Washington,1773,43%,40,18%,64%,97%,91,13,8,14%,91%,No,29,Increase,2,25,63%,Decrease,5%,80%,,,,,,,,,,79%,Decrease,2%,85%,78%,No Change,,79%,88%,Increase,1%,85%,65%,Decrease,2%,62%
2243,Beaverton SD 48J,1153,Aloha-Huber Park School,Scott Drue,Grade(s) K-8,E,Washington,925,53%,32,14%,79%,97%,49,12,1,10%,88%,Yes,27,Increase,2,25,81%,Decrease,4%,80%,High,50%,Decrease,3%,52%,48%,Decrease,4%,41%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,4805,Arco Iris Spanish Immersion School,Michelle Herron,Grade(s) K-8,E,Washington,368,15%,11,<5%,6%,90%,21,3,1,35%,50%,No,25,No Change,,25,89%,Decrease,3%,80%,High,82%,Decrease,3%,52%,68%,Increase,3%,41%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1304,Arts and Communication Magnet Academy,Bjorn Paige,Grade(s) 6-12,H,Washington,677,10%,15,9%,24%,95%,34,2,3,7%,92%,No,27,Increase,2,25,79%,Decrease,2%,80%,,,,,,,,,,86%,Decrease,9%,85%,97%,Decrease,1%,79%,100%,Increase,1%,85%,82%,Increase,2%,62%
2243,Beaverton SD 48J,1154,Barnes Elementary School,Paul Marietta,Grade(s) K-5,E,Washington,623,46%,20,15%,68%,95%,37,7,1,16%,67%,No,26,Increase,1,25,78%,Decrease,1%,80%,Average,37%,No Change,,51%,20%,Increase,2%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1155,Beaver Acres Elementary School,Stacy Geale,Grade(s) K-5,E,Washington,643,32%,27,19%,58%,96%,36,17,1,13%,85%,Yes,26,Increase,3,25,84%,No Change,,80%,Average,56%,Decrease,3%,51%,46%,No Change,,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1187,Beaverton High School,Anne Erwin,Grade(s) 9-12,H,Washington,1512,42%,36,14%,51%,96%,88,16,6,10%,95%,Yes,25,No Change,,25,70%,Decrease,3%,80%,,,,,,,,,,85%,Increase,8%,85%,81%,Decrease,1%,79%,88%,Decrease,1%,85%,75%,Increase,1%,62%
2243,Beaverton SD 48J,1156,Bethany Elementary School,Casey Lange,Grade(s) K-5,E,Washington,530,18%,31,12%,17%,93%,27,5,1,10%,86%,No,26.5,Increase,4,25,89%,Decrease,3%,80%,Average,84%,Increase,3%,51%,78%,Decrease,3%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,4671,Bonny Slope Elementary School,Janet Maza,Grade(s) K-5,E,Washington,653,12%,29,8%,10%,92%,31,7,1,14%,88%,Yes,28,Increase,1,25,93%,No Change,,80%,High,84%,Decrease,2%,51%,82%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1158,Cedar Mill Elementary School,Amy Chamberlain,Grade(s) K-5,E,Washington,425,13%,24,10%,13%,93%,22,3,1,10%,77%,No,24,No Change,,25,90%,Decrease,4%,80%,Average,76%,Decrease,2%,51%,68%,Decrease,3%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1180,Cedar Park Middle School,Shannon Anderson,Grade(s) 6-8,M,Washington,1001,19%,33,14%,27%,95%,47,9,3,17%,88%,Yes,31,Increase,2,25,84%,Decrease,1%,80%,Average,71%,Increase,1%,54%,60%,Increase,3%,39%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1159,Chehalem Elementary School,Angee Silliman,Grade(s) K-5,E,Washington,495,35%,20,17%,64%,93%,31,8,1,16%,88%,Yes,25,Increase,1,25,81%,Decrease,3%,80%,Average,42%,Decrease,7%,51%,36%,Decrease,7%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1305,Community School,Rachel Sip,Grade(s) 9-12,H,Washington,133,35%,8,39%,>95%,98%,16,7,3,4%,94%,No,11,No Change,,25,65%,Decrease,8%,80%,,,,,,,,,,,Unavailable,,85%,53%,Decrease,1%,79%,85%,Increase,1%,85%,58%,Increase,9%,62%
2243,Beaverton SD 48J,1319,Conestoga Middle School,Zan Hess,Grade(s) 6-8,M,Washington,997,22%,27,15%,34%,97%,45,8,3,18%,85%,Yes,29,No Change,,25,83%,Decrease,2%,80%,Average,68%,Decrease,1%,54%,51%,Decrease,6%,39%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1160,Cooper Mountain Elementary School,Ali Montelongo,Grade(s) K-5,E,Washington,478,12%,25,14%,18%,95%,29,9,1,9%,93%,Yes,21,Decrease,2,25,92%,No Change,,80%,High,68%,Increase,7%,51%,60%,Decrease,2%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1162,Elmonica Elementary School,Kalay McNamee,Grade(s) K-5,E,Washington,721,41%,32,11%,51%,97%,41,6,2,26%,67%,Yes,26,No Change,,25,87%,No Change,,80%,Average,56%,Increase,4%,51%,48%,Increase,5%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1161,Errol Hassell Elementary School,Cynthia Lam-Moffett,Grade(s) K-5,E,Washington,457,18%,15,18%,41%,96%,26,14,1,19%,88%,Yes,24,Decrease,1,25,87%,Decrease,1%,80%,High,68%,Increase,7%,51%,59%,Decrease,2%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1370,Findley Elementary,Sherry Marsh,Grade(s) K-5,E,Washington,701,12%,35,6%,<5%,94%,34,5,1,12%,92%,No,28,Increase,3,25,>95%,No Change,,80%,High,93%,Increase,1%,51%,91%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1163,Fir Grove Elementary School,Erin Miles,Grade(s) K-5,E,Washington,385,25%,14,14%,50%,96%,26,4,1,9%,97%,Yes,22,Decrease,2,25,87%,Decrease,2%,80%,High,59%,Increase,11%,51%,43%,Increase,10%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1181,Five Oaks Middle School,Shirley Brock,Grade(s) 6-8,M,Washington,1001,38%,35,16%,61%,96%,48,11,4,7%,83%,Yes,28,Decrease,2,25,78%,No Change,,80%,Average,52%,Increase,5%,54%,38%,No Change,,39%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1157,Greenway Elementary School,Jennifer Whitten,Grade(s) K-5,E,Washington,328,39%,18,19%,74%,93%,23,8,2,17%,79%,Yes,25,Increase,5,25,83%,No Change,,80%,High,42%,Decrease,10%,51%,31%,Decrease,4%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1164,Hazeldale Elementary School,Angela Tran,Grade(s) K-5,E,Washington,453,29%,16,21%,50%,95%,28,8,1,15%,93%,Yes,22,No Change,,25,86%,Decrease,1%,80%,Average,64%,No Change,,51%,49%,Increase,1%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,4638,Health & Science School,Andrew Cronk,Grade(s) 6-12,H,Washington,704,32%,26,10%,40%,98%,34,3,2,16%,89%,No,27,Increase,3,25,82%,No Change,,80%,,,,,,,,,,80%,Decrease,7%,85%,95%,Decrease,1%,79%,98%,Decrease,1%,85%,81%,Decrease,1%,62%
2243,Beaverton SD 48J,1184,Highland Park Middle School,Curtis Semana,Grade(s) 6-8,M,Washington,855,22%,31,15%,31%,96%,40,8,2,9%,85%,Yes,27,No Change,,25,84%,Decrease,4%,80%,Average,64%,Increase,5%,54%,49%,Decrease,2%,39%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1165,Hiteon Elementary School,Meghan Warren,Grade(s) K-5,E,Washington,661,14%,19,17%,31%,93%,37,10,1,12%,86%,Yes,24,Decrease,2,25,91%,Increase,1%,80%,Average,70%,Decrease,5%,51%,69%,Increase,1%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,4867,Hope Chinese Charter School,Julie Rickman,Grade(s) K-7,E,Washington,275,11%,15,8%,*,89%,16,4,<1,33%,23%,Yes,26,No Change,,25,95%,Increase,2%,80%,High,71%,Decrease,9%,52%,77%,Decrease,3%,42%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,4474,International School of Beaverton,Jill O'Neill,Grade(s) 6-12,H,Washington,850,27%,41,<5%,20%,98%,40,0,3,19%,91%,Yes,29.5,Increase,1,25,95%,No Change,,80%,,,,,,,,,,96%,No Change,,85%,100%,Increase,1%,79%,99%,Decrease,1%,85%,90%,Increase,5%,62%
2243,Beaverton SD 48J,3437,Jacob Wismer Elementary School,Joan McFadden,Grade(s) K-5,E,Washington,731,19%,30,6%,5%,95%,37,5,1,7%,97%,Yes,26,Increase,1,25,92%,Decrease,2%,80%,High,92%,Increase,2%,51%,91%,Increase,2%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1166,Kinnaman Elementary School,Ashlee Hudson,Grade(s) K-5,E,Washington,658,34%,21,18%,68%,96%,40,14,1,9%,98%,No,24,Decrease,1,25,83%,Decrease,3%,80%,Low,50%,Decrease,3%,51%,36%,Decrease,3%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1168,McKay Elementary School,Erin Kollings,Grade(s) K-5,E,Washington,295,30%,17,27%,59%,92%,22,6,1,17%,91%,Yes,20,No Change,,25,87%,Increase,2%,80%,Low,42%,Decrease,5%,51%,37%,No Change,,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1169,McKinley Elementary School,Aki Mori,Grade(s) K-5,E,Washington,565,29%,30,13%,63%,95%,39,10,1,19%,75%,No,21,Decrease,2,25,80%,Decrease,3%,80%,Low,47%,Decrease,4%,51%,33%,Decrease,4%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1182,Meadow Park Middle School,Jared Freeman,Grade(s) 6-8,M,Washington,806,34%,32,15%,44%,95%,48,7,3,20%,77%,Yes,24,Decrease,3,25,83%,Increase,1%,80%,Average,63%,Increase,5%,54%,49%,Increase,1%,39%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1170,Montclair Elementary School,Sean Leverty,Grade(s) K-5,E,Washington,304,5%,13,12%,20%,92%,16,4,1,10%,94%,Yes,25,Increase,3,25,92%,No Change,,80%,Average,81%,Increase,7%,51%,65%,Decrease,3%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1183,Mountain View Middle School,Wendy Rider,Grade(s) 6-8,M,Washington,895,36%,28,16%,61%,96%,43,10,2,16%,84%,No,28,No Change,,25,79%,No Change,,80%,Average,47%,Decrease,2%,54%,31%,Decrease,5%,39%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,5381,Mountainside High School,Todd Corsetti,Grade(s) 9-12,H,Washington,1367,17%,39,9%,21%,96%,65,11,6,32%,88%,Yes,32,No Change,,25,84%,Decrease,3%,80%,,,,,,,,,,96%,No Change,,85%,0%,Unavailable,,79%,*,Unavailable,,85%,,Unavailable,,
2243,Beaverton SD 48J,1303,Nancy Ryles Elementary School,Monica Arbow,Grade(s) K-5,E,Washington,657,15%,29,10%,22%,96%,28,4,1,14%,90%,Yes,29,Increase,5,25,89%,Decrease,2%,80%,Average,75%,Decrease,2%,51%,63%,Decrease,5%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1171,Oak Hills Elementary School,Sheila Baumgardner,Grade(s) K-5,E,Washington,568,13%,31,11%,18%,94%,30,8,1,17%,82%,Yes,23,Increase,1,25,92%,Increase,1%,80%,Average,83%,Increase,5%,51%,71%,Decrease,4%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1172,Raleigh Hills Elementary School,Jennifer DeMartino,Grade(s) K-8,E,Washington,549,27%,15,19%,48%,96%,35,9,1,17%,95%,Yes,22.5,Decrease,2,25,84%,Decrease,2%,80%,Average,61%,Decrease,1%,52%,49%,Decrease,6%,41%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1173,Raleigh Park Elementary School,Brian Curl,Grade(s) K-5,E,Washington,369,25%,17,18%,44%,94%,24,6,1,12%,80%,Yes,22,Decrease,1,25,88%,Decrease,4%,80%,Average,66%,Increase,1%,51%,57%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1174,Ridgewood Elementary School,Cary Meier,Grade(s) K-5,E,Washington,415,6%,18,18%,19%,90%,27,11,1,8%,89%,Yes,24,Increase,2,25,86%,Decrease,1%,80%,High,78%,Increase,2%,51%,71%,Increase,1%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1175,Rock Creek Elementary School,Tiffany Wiencken,Grade(s) K-5,E,Washington,564,15%,30,10%,22%,91%,31,4,1,15%,82%,Yes,24.5,Increase,1,25,88%,No Change,,80%,High,76%,Increase,3%,51%,68%,Increase,1%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,5382,Sato Elementary School,Annie Pleau,Grade(s) K-5,E,Washington,627,21%,31,7%,14%,93%,31,6,1,19%,76%,No,27,Increase,4,25,90%,No Change,,80%,High,80%,Decrease,5%,51%,82%,Increase,4%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,2781,Scholls Heights Elementary School,Tracy Bariao-Arce,Grade(s) K-5,E,Washington,563,13%,31,16%,16%,95%,30,13,1,12%,87%,Yes,23,No Change,,25,92%,Decrease,1%,80%,Average,78%,No Change,,51%,73%,Decrease,5%,43%,,,,,,,,,,,,,,,,
